year,month,country_chart,artist,track,rank,streams,spotify_link
2017,01,Global,Migos,T-Shirt,138.0,9703128,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
2017,01,Global,AJR,Weak,98.0,9385191,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
2017,01,Global,Shawn Mendes,Treat You Better,50.0,9342334,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
2017,01,Global,Big Sean,Bounce Back,46.0,9274387,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
2017,01,Global,Alan Walker,Alone,44.0,9193283,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p
2017,01,Global,The Chainsmokers,Don't Let Me Down (feat. Daya),56.0,8953677,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
2017,01,Global,Aminé,Caroline,49.0,8391667,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
2017,01,Global,Ed Sheeran,Photograph,65.0,8100952,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
2017,01,Global,"Nevada, Mark Morrison, Fetty Wap",The Mack,82.0,7948183,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
2017,01,Global,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",60.0,7906264,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
2017,01,Global,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),58.0,7844059,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
2017,01,Global,"Snakehips, MØ",Don't Leave,79.0,7726011,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
2017,01,Global,"J Balvin, Pharrell Williams, BIA, Sky",Safari,54.0,7604273,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
2017,01,Global,Sia,Cheap Thrills,81.0,7464457,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
2017,01,Global,Shelley FKA DRAM,Broccoli (feat. Lil Yachty),66.0,7430168,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
2017,01,Global,Nicky Jam,El Amante,70.0,7423671,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
2017,01,Global,Sia,The Greatest (feat. Kendrick Lamar),78.0,7408820,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO
2017,01,Global,KYLE,iSpy (feat. Lil Yachty),85.0,7248915,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
2017,01,Global,Zion & Lennox,Otra vez (feat. J Balvin),58.0,7030189,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
2017,01,Global,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,73.0,6865796,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
2017,01,Global,Rag'n'Bone Man,Human,57.0,6777470,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
2017,01,Global,"Noah Cyrus, Labrinth",Make Me (Cry),64.0,6677226,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
2017,01,Global,The Weeknd,Party Monster,70.0,6553106,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
2017,01,Global,Adele,Water Under the Bridge,62.0,6504190,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
2017,01,Global,Petit Biscuit,Sunset Lover,65.0,6458551,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
2017,01,Global,Luke Christopher,Lot to Learn,66.0,6347316,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
2017,01,Global,Ricky Martin,Vente Pa' Ca (feat. Maluma),68.0,6305524,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
2017,01,Global,Bebe Rexha,I Got You,78.0,6232376,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
2017,01,Global,Ed Sheeran,Thinking out Loud,81.0,6084730,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
2017,01,Global,"NEIKED, Dyo",Sexual,68.0,6044631,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
2017,01,Global,Calvin Harris,This Is What You Came For (feat. Rihanna),87.0,6037377,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
2017,01,Global,J. Cole,Deja Vu,86.0,5869142,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ
2017,01,Global,Little Mix,Touch,128.0,5708582,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
2017,01,Global,"Jonas Blue, JP Cooper",Perfect Strangers,89.0,5606008,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
2017,01,Global,Twenty One Pilots,Ride,85.0,5506837,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
2017,01,Global,"Jax Jones, RAYE",You Don't Know Me - Radio Edit,192.0,5479849,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
2017,01,Global,Isaiah Firebrace,It's Gotta Be You,140.0,5477242,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
2017,01,Global,"The Chainsmokers, XYLØ",Setting Fires,129.0,5474467,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
2017,01,Global,Childish Gambino,Redbone,94.0,5439914,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
2017,01,Global,"Drake, Rihanna",Too Good,98.0,5428919,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
2017,01,Global,Hearts & Colors,Lighthouse - Andrelli Remix,95.0,5387811,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo
2017,01,Global,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),99.0,5359687,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
2017,01,Global,gnash,"i hate u, i love u (feat. olivia o'brien)",93.0,5304801,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
2017,01,Global,Twenty One Pilots,Stressed Out,91.0,5223082,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
2017,01,Global,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),112.0,5194019,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu
2017,01,Global,JP Cooper,September Song,136.0,5150836,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
2017,01,Global,Alan Walker,Faded,92.0,5136331,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
